SA2_NAME16,Population
Braidwood,4366
Karabar,8528
Queanbeyan,11390
Queanbeyan - East,5090
Queanbeyan West - Jerrabomberra,12779
Googong,6748
Queanbeyan Surrounds,16864
Bombala,2467
Cooma,6670
Cooma Surrounds,3505
Jindabyne - Berridale,8224
Batemans Bay,8651
Batemans Bay - South,8965
Bega - Tathra,8870
Bega-Eden Hinterland,9631
Broulee - Tomakin,3829
Deua - Wadbilliga,41
Eden,3416
Eurobodalla Hinterland,3565
Merimbula - Tura Beach,11506
Moruya - Tuross Head,8588
Narooma - Bermagui,9925
Goulburn,24840
Goulburn Surrounds,13946
Yass,6781
Yass Surrounds,12792
Young,10984
Young Surrounds,7682
Avoca Beach - Copacabana,7481
Box Head - MacMasters Beach,11054
Calga - Kulnura,4700
Erina - Green Point,14654
Gosford - Springfield,21701
Kariong,6408
Kincumber - Picketts Valley,7537
Narara,7270
Niagara Park - Lisarow,8194
Point Clare - Koolewong,6613
Saratoga - Davistown,7207
Terrigal - North Avoca,14904
Umina - Booker Bay - Patonga,24846
Wamberal - Forresters Beach,10675
Woy Woy - Blackwall,14283
Wyoming,11344
Bateau Bay - Killarney Vale,22905
Blue Haven - San Remo,11468
Budgewoi - Buff Point - Halekulani,9877
Chittaway Bay - Tumbi Umbi,16197
Gorokan - Kanwal - Charmhaven,22586
Jilliby - Yarramalong,3451
Lake Munmorah - Mannering Park,11039
Ourimbah - Fountaindale,4914
Summerland Point - Gwandalan,6631
The Entrance,15831
Toukley - Norah Head,9907
Tuggerah - Kangy Angy,5243
Warnervale - Wadalba,20974
Wyong,9279
Bathurst - East,12679
Bathurst Surrounds,6947
Oberon,4853
Bathurst - South,10727
Bathurst - West,14494
Condobolin,6404
Cowra,9244
Cowra Surrounds,5733
Forbes,10038
Grenfell,3600
Parkes (NSW),10974
Parkes Surrounds,3201
West Wyalong,5462
Lithgow,12372
Lithgow Surrounds,8442
Mudgee,12571
Mudgee Surrounds - East,3366
Mudgee Surrounds - West,11166
Wollangambe - Wollemi,0
Blayney,7611
Orange,19135
Orange - North,23244
Orange Surrounds,11869
Grafton,19453
Grafton Surrounds,17153
Maclean - Yamba - Iluka,17615
Bellingen,6164
Coffs Harbour - North,18363
Coffs Harbour - South,11367
Coramba - Nana Glen - Bucca,3979
Dorrigo,3230
Korora - Emerald Beach,10437
Sawtell - Boambee,20217
Urunga,4925
Woolgoolga - Arrawarra,14746
Bourke - Brewarrina,3515
Cobar,4125
Coonamble,4022
Nyngan - Warren,4595
Walgett - Lightning Ridge,5813
Broken Hill,17569
Far West,2295
Coonabarabran,7960
Dubbo - East,10803
Dubbo - South,19975
Dubbo - West,10543
Dubbo Surrounds,6022
Gilgandra,4410
Narromine,6534
Wellington,8941
Branxton - Greta - Pokolbin,13521
Cessnock,23856
Cessnock Surrounds,9355
Dungog,9722
Kurri Kurri - Abermain,21574
Singleton,17431
Singleton Surrounds,5398
Maitland,9146
Maitland - North,8948
East Maitland - Metford,18140
Rutherford (North) - Aberglasslyn,18391
Rutherford (South) - Telarah,8398
Tenambit - East Maitland,10291
Thornton - Millers Forest,17065
Anna Bay,6591
Lemon Tree Passage - Tanilba Bay,6935
Nelson Bay Peninsula,21968
Raymond Terrace,14915
Seaham - Woodville,5743
Tea Gardens - Hawks Nest,5792
Williamtown - Medowie - Karuah,15566
Muswellbrook,12417
Muswellbrook Surrounds,4123
Scone,6040
Scone Surrounds,8251
Dapto - Avondale,24451
Horsley - Kembla Grange,12990
Port Kembla Industrial,7
